,FTE,FTE Days Lost,Absence Start Date,Absence End Date,Calendar Days Lost,Total FTE Calendar Days ,First Day Absent
1950,0.6,1.2,21/11/2017,02/01/2018,2,25.8,Tue
1951,0.6,1.2,27/09/2019,28/09/2019,2,1.2,Fri
1952,0.6,1.2,18/12/2018,19/12/2018,2,1.2,Tue
1953,0.6,1.2,05/09/2019,06/09/2019,2,1.2,Thu
1954,0.6,1.2,30/10/2018,31/10/2018,2,1.2,Tue
1955,0.6,1.2,09/10/2019,10/10/2019,2,1.2,Wed
1956,0.6,1.2,17/01/2018,18/01/2018,2,1.2,Wed
1957,0.6,1.2,03/11/2019,04/11/2019,2,1.2,Sun
1958,0.6,1.2,11/03/2019,12/03/2019,2,1.2,Mon
1959,0.6,1.2,16/09/2019,17/09/2019,2,1.2,Mon
1960,0.6,1.2,09/10/2018,10/10/2018,2,1.2,Tue
1961,0.6,1.2,06/02/2019,07/02/2019,2,1.2,Wed
1962,0.6,1.2,11/06/2019,12/06/2019,2,1.2,Tue
1963,0.6,1.2,23/02/2019,24/02/2019,2,1.2,Sat
1964,0.6,1.2,28/05/2019,29/05/2019,2,1.2,Tue
1965,0.6,1.2,03/04/2018,04/04/2018,2,1.2,Tue
1966,0.4,1.2,21/01/2019,23/01/2019,3,1.2,Mon
1967,0.6,1.2,23/07/2018,24/07/2018,2,1.2,Mon
1968,0.6,1.2,17/09/2018,18/09/2018,2,1.2,Mon
1969,0.6,1.2,05/08/2019,06/08/2019,2,1.2,Mon
1970,0.6,1.2,27/02/2019,28/02/2019,2,1.2,Wed
1971,0.6,1.2,09/10/2018,10/10/2018,2,1.2,Tue
1972,0.6,1.2,17/09/2019,18/09/2019,2,1.2,Tue
1973,0.4,1.2,04/11/2019,06/11/2019,3,1.2,Mon
1974,0.6,1.2,30/09/2019,01/10/2019,2,1.2,Mon
1975,0.6,1.2,29/10/2019,30/10/2019,2,1.2,Tue
1976,0.6,1.2,01/10/2018,02/10/2018,2,1.2,Mon
1977,0.6,1.2,18/06/2018,19/06/2018,2,1.2,Mon
1978,0.6,1.2,22/05/2019,23/05/2019,2,1.2,Wed
1979,0.6,1.2,20/08/2019,21/08/2019,2,1.2,Tue
1980,0.6,1.2,09/04/2018,10/04/2018,2,1.2,Mon
1981,0.6,1.2,19/02/2018,20/02/2018,2,1.2,Mon
1982,0.6,1.2,28/08/2019,29/08/2019,2,1.2,Wed
1983,0.6,1.2,12/09/2018,13/09/2018,2,1.2,Wed
1984,0.6,1.2,29/01/2019,30/01/2019,2,1.2,Tue
1985,0.6,1.2,20/03/2019,21/03/2019,2,1.2,Wed
1986,0.6,1.2,10/01/2019,11/01/2019,2,1.2,Thu
1987,0.6,1.2,09/10/2019,10/10/2019,2,1.2,Wed
1988,0.4,1.2,05/03/2018,07/03/2018,3,1.2,Mon
1989,0.6,1.2,22/01/2019,23/01/2019,2,1.2,Tue
1990,0.6,1.2,10/07/2019,11/07/2019,2,1.2,Wed
1991,0.6,1.2,18/02/2018,19/02/2018,2,1.2,Sun
1992,0.6,1.2,13/09/2018,14/09/2018,2,1.2,Thu
1993,0.6,1.2,28/11/2019,29/11/2019,2,1.2,Thu
1994,0.4,1.2,28/05/2019,30/05/2019,3,1.2,Tue
1995,0.6,1.2,06/02/2019,07/02/2019,2,1.2,Wed
1996,0.6,1.2,28/06/2019,29/06/2019,2,1.2,Fri
1997,0.6,1.2,11/09/2019,12/09/2019,2,1.2,Wed
1998,0.6,1.2,04/04/2018,05/04/2018,2,1.2,Wed
1999,0.6,1.2,04/12/2018,05/12/2018,2,1.2,Tue
2000,0.6,1.2,14/12/2018,15/12/2018,2,1.2,Fri
2001,0.6,1.2,28/03/2018,29/03/2018,2,1.2,Wed
2002,0.6,1.2,30/12/2019,03/01/2020,2,3,Mon
2003,0.6,1.2,19/08/2019,20/08/2019,2,1.2,Mon
2004,0.6,1.2,30/12/2019,13/01/2020,2,9,Mon
2005,0.6,1.2,15/05/2019,16/05/2019,2,1.2,Wed
2006,0.6,1.2,17/09/2019,18/09/2019,2,1.2,Tue
2007,0.6,1.2,07/02/2019,08/02/2019,2,1.2,Thu
2008,0.6,1.2,07/03/2019,08/03/2019,2,1.2,Thu
2009,0.6,1.2,08/05/2019,09/05/2019,2,1.2,Wed
2010,0.6,1.2,19/01/2019,20/01/2019,2,1.2,Sat
2011,0.6,1.2,06/06/2019,07/06/2019,2,1.2,Thu
2012,0.6,1.2,05/11/2018,06/11/2018,2,1.2,Mon
2013,0.6,1.2,31/08/2019,01/09/2019,2,1.2,Sat
2014,0.6,1.2,24/01/2018,25/01/2018,2,1.2,Wed
2015,0.6,1.2,20/11/2019,21/11/2019,2,1.2,Wed
2016,0.6,1.2,23/01/2018,24/01/2018,2,1.2,Tue
2017,0.6,1.2,22/10/2018,23/10/2018,2,1.2,Mon
2018,0.58667,1.17334,16/12/2019,17/12/2019,2,1.17334,Mon
2019,0.58667,1.17334,23/12/2019,24/12/2019,2,1.17334,Mon
2020,0.58667,1.17334,25/02/2019,26/02/2019,2,1.17334,Mon
2021,0.58667,1.17334,30/09/2019,01/10/2019,2,1.17334,Mon
2022,0.58667,1.17334,14/03/2019,15/03/2019,2,1.17334,Thu
2023,0.58667,1.17334,13/11/2019,14/11/2019,2,1.17334,Wed
2024,0.29333,1.17332,03/09/2019,06/09/2019,4,1.17332,Tue
2025,0.38667,1.16001,07/05/2019,09/05/2019,3,1.16001,Tue
2026,0.38667,1.16001,20/09/2019,22/09/2019,3,1.16001,Fri
2027,0.56,1.12,14/02/2019,15/02/2019,2,1.12,Thu
2028,0.56,1.12,15/04/2018,16/04/2018,2,1.12,Sun
2029,0.56,1.12,18/04/2018,19/04/2018,2,1.12,Wed
2030,0.56,1.12,02/09/2019,03/09/2019,2,1.12,Mon
2031,0.56,1.12,05/02/2019,06/02/2019,2,1.12,Tue
